time,angle_cmd,angle_meas,q_cmd,q_meas,elavator
0,-0.000650137,0,-0.00325069,0,-0.0162859
0.002,0.000166712,-2.28003e-07,0.0008347,-0.000114002,0.00472049
0.004,-0.000119185,-3.8688e-07,-0.000593989,-7.94382e-05,-0.00260092
0.006,-0.000721477,-5.8005e-07,-0.00360448,-9.65854e-05,-0.0176027
0.008,-0.000372443,-1.01708e-06,-0.00185713,-0.000218517,-0.00827269
0.01,-0.000194324,-1.56411e-06,-0.000963799,-0.000273512,-0.00353797
0.012,-0.000210215,-2.15337e-06,-0.00104031,-0.000294631,-0.00382237
0.014,-4.7794e-05,-2.78829e-06,-0.000225029,-0.000317459,0.000369086
0.016,-0.000182811,-3.40957e-06,-0.000897006,-0.000310643,-0.00303074
0.018,0.000173762,-4.06501e-06,0.000889133,-0.000327716,0.00599748
0.02,-0.000718068,-4.62774e-06,-0.0035672,-0.000281364,-0.0165488
0.022,-4.72571e-05,-5.41464e-06,-0.000209212,-0.000393454,0.000803434
0.024,8.21636e-06,-6.17981e-06,7.19809e-05,-0.000382584,0.00215959
0.026,0.000642285,-6.90454e-06,0.00324595,-0.000362366,0.0179644
0.028,0.000283697,-7.36811e-06,0.00145532,-0.000231783,0.00837526
0.03,0.000170649,-7.70824e-06,0.000891784,-0.000170066,0.00525959
0.032,0.000131819,-7.97021e-06,0.000698946,-0.000130981,0.00410828
0.034,-0.000215996,-8.17116e-06,-0.00103912,-0.000100477,-0.00474398
0.036,0.000611425,-8.43585e-06,0.0030993,-0.000132345,0.0161398
0.038,0.00057819,-8.47105e-06,0.0029333,-1.76019e-05,0.0147656
0.04,-0.000175688,-8.29907e-06,-0.000836943,8.5992e-05,-0.00461282
0.042,0.000262943,-8.19396e-06,0.00135568,5.25557e-05,0.00653052
0.044,0.000256095,-7.99882e-06,0.00132047,9.75686e-05,0.00614161
0.046,0.000122227,-7.7203e-06,0.000649736,0.000139259,0.0025846
0.048,0.000565934,-7.40932e-06,0.00286672,0.000155494,0.0136154
0.05,-0.000156432,-6.91186e-06,-0.000747599,0.000248729,-0.00493228
0.052,0.000768713,-6.49008e-06,0.00387601,0.000210887,0.0184116
0.054,-0.000438389,-5.81617e-06,-0.00216287,0.000336957,-0.0124381
0.056,0.000472187,-5.32537e-06,0.00238756,0.000245397,0.0107933
0.058,0.000443372,-4.69002e-06,0.00224031,0.000317678,0.00971481
0.06,-0.000693932,-3.92713e-06,-0.00345002,0.000381446,-0.019094
0.062,3.8121e-05,-3.44172e-06,0.000207814,0.000242702,-0.000111441
0.064,0.000416028,-2.96435e-06,0.00209496,0.000238686,0.00936295
0.066,-0.000458585,-2.36226e-06,-0.00228111,0.000301044,-0.0128551
0.068,0.00054498,-1.94817e-06,0.00273464,0.000207045,0.012719
